id,size
br0,32
br1,32
br2,32
br3,32
br4,32
br5,32
br6,32
br7,32
br8,32
br9,32
br10,32
br11,32
br12,32
br13,32
br14,32
br15,32
br16,32
br17,32
br18,32
br19,1
br20,1
br21,32
br22,32
br23,32
br24,32
br25,1
br26,1
br27,1
br28,31
