cluster,size,ssim
0,14,0.0605765
1,4,0.174105
2,4,0.136887
3,9,0.062712
4,1,0.502875
5,1,0.481053
6,1,0.432293
7,1,0.5426
8,1,0.511715
9,1,0.414544
