var,size,bit,cluster,ssim
p2_p8,9,1,0,0.970618
gx,11,9,0,1
abs_gy,11,0,0,0.98685
p8_p6,9,4,0,0.748319
p5_p3,9,3,0,0.746232
gx_2s_comp,11,7,0,0.989707
abs_gx,11,1,0,0.974349
gx_2s_comp,11,10,0,1
gx_temp,10,1,0,0.971923
abs_gx,11,10,0,1
gx_2s_comp,11,9,0,1
gy_comp,11,0,0,0.990158
gy_temp,10,6,0,0.266095
gy,11,2,0,0.927763
abs_gy,11,7,0,0.969966
gy_comp,11,1,0,0.978933
gy_temp,10,5,0,0.453166
p2_p8,9,6,0,0.3119
gx,11,5,0,0.470877
gy_temp,10,8,0,0.046048
p2_p0,9,2,0,0.952786
gy_temp,10,4,0,0.666207
p8_p6,9,6,0,0.322426
gy_comp,11,2,0,0.968079
center_2,10,9,0,1
gx,11,4,0,0.694152
center_1,10,0,0,1
p1_p7,9,2,0,0.859481
gx_comp,11,8,0,1
center_1,10,9,0,1
gx_comp,11,10,0,1
gy_2s_comp,11,7,0,0.987221
center_tm,9,6,0,0.293046
center_4,10,7,0,0.151684
center_2,10,4,0,0.716775
gx_comp,11,2,0,0.974907
center_4,10,6,0,0.293046
