var,rae
part_y_reg[8],0.00000174
part_y_reg[10],0.00000174
part_x_reg[6],0.00000174
part_x_reg[7],0.00000174
part_x_reg[8],0.00000174
part_x_reg[9],0.00000174
part_x[11],0.00000273
part_x_reg[11],0.00000273
xy_sum[1],0.00000405
y_sqr[1],0.00000405
y_sqr_reg[1],0.00000405
theta1_num[13],0.0000042
part_x[13],0.00000452
part_x_reg[13],0.00000452
part_y[13],0.00000594
part_y_reg[13],0.00000594
y_sqr[7],0.00000744
y_sqr_reg[7],0.00000744
part_y[14],0.00001475
part_y_reg[14],0.00001475
x_sqr[8],0.00001672
x_sqr_reg[8],0.00001672
part_x[14],0.00001784
part_x_reg[14],0.00001784
theta1_num[14],0.00001883
xy_sum[9],0.00001993
part_x[15],0.00002454
part_x_reg[15],0.00002454
theta2_num[10],0.00003499
xy_sum[10],0.00006975
y_sqr[10],0.00009411
y_sqr_reg[10],0.00009411
part_y[16],0.00009764
part_y_reg[16],0.00009764
xy_sum[7],0.00013383
part_x[17],0.00013553
part_x_reg[17],0.00013553
x_sqr[7],0.00013774
x_sqr_reg[7],0.00013774
sin12[2],0.00014074
sin12_reg[2],0.00014074
theta1_num[17],0.00015024
cos12[4],0.00015299
cos12_reg[4],0.00015299
theta2_num[11],0.00018476
sin12[3],0.00020093
sin12_reg[3],0.00020093
part_x[18],0.00023462
part_x_reg[18],0.00023462
y_sqr[11],0.00024562
y_sqr_reg[11],0.00024562
xy_sum[11],0.00025735
xy_sum[4],0.00026526
y_sqr[4],0.00026526
y_sqr_reg[4],0.00026526
part_x[16],0.00031382
part_x_reg[16],0.00031382
cos12[2],0.00031634
cos12_reg[2],0.00031634
theta1_num[16],0.00037507
theta1_num[15],0.0003872
part_y[15],0.00040712
part_y_reg[15],0.00040712
part_1[2],0.00041774
part_1_reg[2],0.00041774
xy_sum[8],0.00042349
y_sqr[8],0.00043079
y_sqr_reg[8],0.00043079
part_y[17],0.00043105
part_y_reg[17],0.00043105
x_sqr[10],0.00043746
x_sqr_reg[10],0.00043746
y_sqr[9],0.00052112
y_sqr_reg[9],0.00052112
x_sqr[9],0.00052937
x_sqr_reg[9],0.00052937
x_sqr[11],0.00068662
x_sqr_reg[11],0.00068662
cos_theta2_reg[0],0.00078917
cos_theta2[0],0.00078917
part_y[19],0.00084072
part_y_reg[19],0.00084072
