token,err
br22_10,0.00000000
br22_11,0.00000000
br22_12,0.00000000
br22_13,0.00000000
br22_14,0.00000000
br22_15,0.00000001
br22_16,0.00000001
br22_17,0.00000000
br22_18,0.00000002
br22_19,0.00000003
br22_20,0.00000002
br22_21,0.00000005
br22_22,0.00000009
br22_23,0.00000018
br22_24,0.00000022
br22_25,0.00000029
br22_26,0.00000059
br22_27,0.00000082
br22_28,0.00000106
br22_29,0.00000122
br22_30,0.00000106
br22_31,0.25499252
br23_0,0.00000000
br23_1,0.00000000
br23_2,0.00000000
br23_3,0.00000000
br23_4,0.00000000
br23_5,0.00000000
br23_6,0.00000000
br23_7,0.00000000
br23_8,0.00000001
br23_9,0.00000000
br23_10,0.00000000
br23_11,0.00000000
br23_12,0.00000002
br23_13,0.00000000
br23_14,0.00000002
br23_15,0.00000004
br23_16,0.00000002
br23_17,0.00000001
br23_18,0.00000003
br23_19,0.00000008
br23_20,0.00000009
br23_21,0.00000007
br23_22,0.00000013
br23_23,0.00000017
br23_24,0.00000024
br23_25,0.00000035
br23_26,0.00000048
br23_27,0.00000063
br23_28,0.00000093
br23_29,0.00000144
br23_30,0.00000152
br23_31,0.00000000
br24_0,0.00000000
br24_1,0.00000000
br24_2,0.00000000
br24_3,0.00000000
br24_4,0.00000000
br24_5,0.00000000
br24_6,0.00000000
br24_7,0.00000005
br24_8,0.00000008
br24_9,0.00000015
br24_10,0.00000021
br24_11,0.00000043
br24_12,0.00000067
br24_13,0.00000094
br24_14,0.00000117
br24_15,0.00000098
br24_16,0.00000054
br24_17,0.00000000
br24_18,0.00000000
br24_19,0.00000000
br24_20,0.00000000
br24_21,0.00000000
br24_22,0.00000000
br24_23,0.00000000
br24_24,0.00000000
br24_25,0.00000000
br24_26,0.00000000
br24_27,0.00000000
br24_28,0.00000000
br24_29,0.00000000
br24_30,0.00000000
br24_31,0.25499252
br25_0,0.00000000
br26_0,0.00000000
br27_0,0.00000000
br28_0,0.00000000
br28_1,0.00000000
br28_2,0.00000000
br28_3,0.00000000
br28_4,0.00000000
br28_5,0.00000000
br28_6,0.00000000
br28_7,0.00000000
br28_8,0.00000000
br28_9,0.00000000
br28_10,0.00000000
br28_11,0.00000000
br28_12,0.00000000
br28_13,0.00000000
br28_14,0.00000000
br28_15,0.00000000
br28_16,0.00000001
br28_17,0.00000000
br28_18,0.00000001
br28_19,0.00000002
br28_20,0.00000003
br28_21,0.00000005
br28_22,0.00000010
br28_23,0.00050016
br28_24,0.00050026
br28_25,0.00100031
br28_26,0.00300051
br28_27,0.00700063
br28_28,0.01500059
br28_29,0.03400022
br28_30,0.06899910
