cluster,size,err
0,571,0.11996973
1,40,0.17287607
2,32,0.13117879
3,47,0.26717277
4,55,0.30319896
5,18,0.26750291
6,2,0.19148866
7,2,0.11049733
8,3,0.25499327
9,2,0.25499252
