statement,cluster,score
s26,0,16
s0,0,33
s3,0,43
s1,0,57
s2,0,57
s4,0,64
s5,0,64
s18,0,67
s20,0,78
s27,0,83
s16,0,116
s22,0,116
s6,0,116
s7,0,116
s8,1,412
s11,1,439
s19,1,498
s21,1,498
s12,2,2521
s13,2,2521
s10,2,2565
s9,2,2565
s34,3,3628
s14,3,3807
s15,3,3807
s17,3,3807
s23,3,3807
s24,3,3810
s25,3,3810
s29,3,3810
s33,3,3810
s32,4,6547
s36,4,7556
s31,5,8567
s35,6,11052
s30,7,13925
s28,8,16869
s37,9,222161
