var,size,bit,cluster,ssim
gx_2s_comp,11,9,0,1
center_tm,9,2,0,0.932161
gy_comp,11,5,0,0.971426
p5_p3,9,8,0,1
gy_temp,10,0,0,0.98398
gx,11,7,0,0.143911
center_tm,9,8,0,0.047889
p2_p0,9,4,0,0.752926
p0_p6,9,2,0,0.943524
gx_2s_comp,11,0,0,0.98999
gx_temp,10,1,0,0.971923
center_rm,9,4,0,0.716775
gy_temp,10,3,0,0.832275
gx_2s_comp,11,7,0,0.989707
abs_gy,11,0,0,0.98685
p2_p0,9,2,0,0.952786
gy_2s_comp,11,2,0,0.960402
center_3,10,3,0,0.859481
p5_p3,9,2,0,0.885307
abs_gy,11,8,0,0.999774
p8_p6,9,1,0,0.975122
abs_gx,11,10,0,1
p2_p8,9,2,0,0.943519
gy_temp,10,2,0,0.927763
gy,11,6,0,0.266095
center_3,10,8,0,0.055822
gy,11,0,0,0.98398
gy_2s_comp,11,1,0,0.98037
gy_2s_comp,11,6,0,0.978316
sum,11,5,0,0.878001
p8_p6,9,3,0,0.89131
gy,11,7,0,0.129496
gx_temp,10,3,0,0.850661
center_3,10,6,0,0.304666
gy_comp,11,1,0,0.978933
