token,size,bit,cluster,score
br28,31,10,0,0.0000
br28,31,11,0,0.0000
br28,31,12,0,0.0000
br28,31,13,0,0.0000
br28,31,14,0,0.0000
br28,31,15,0,0.0000
br28,31,16,0,0.0000
br28,31,17,0,0.0000
br28,31,18,0,0.0000
br28,31,2,0,0.0000
br28,31,20,0,0.0000
br28,31,21,0,0.0000
br28,31,3,0,0.0000
br28,31,4,0,0.0000
br28,31,5,0,0.0000
br28,31,6,0,0.0000
br28,31,7,0,0.0000
br28,31,8,0,0.0000
br28,31,9,0,0.0000
br3,32,0,0,0.0000
br3,32,1,0,0.0000
br3,32,19,0,0.0000
br3,32,2,0,0.0000
br3,32,20,0,0.0000
br3,32,21,0,0.0000
br3,32,22,0,0.0000
br3,32,23,0,0.0000
br3,32,24,0,0.0000
br3,32,25,0,0.0000
br3,32,26,0,0.0000
br3,32,27,0,0.0000
br3,32,28,0,0.0000
br3,32,29,0,0.0000
br3,32,3,0,0.0000
br3,32,30,0,0.0000
br3,32,31,0,0.0000
br3,32,4,0,0.0000
br4,32,0,0,0.0000
br4,32,1,0,0.0000
br4,32,10,0,0.0000
br4,32,11,0,0.0000
br4,32,12,0,0.0000
br4,32,13,0,0.0000
br4,32,14,0,0.0000
br4,32,15,0,0.0000
br4,32,16,0,0.0000
br4,32,17,0,0.0000
br4,32,18,0,0.0000
br4,32,2,0,0.0000
br4,32,20,0,0.0000
br4,32,21,0,0.0000
br4,32,3,0,0.0000
br4,32,4,0,0.0000
br4,32,5,0,0.0000
br4,32,6,0,0.0000
br4,32,7,0,0.0000
br4,32,8,0,0.0000
br4,32,9,0,0.0000
br5,32,0,0,0.0000
br5,32,1,0,0.0000
br5,32,10,0,0.0000
br5,32,11,0,0.0000
br5,32,12,0,0.0000
br5,32,13,0,0.0000
br5,32,14,0,0.0000
br5,32,15,0,0.0000
br5,32,16,0,0.0000
br5,32,17,0,0.0000
br5,32,18,0,0.0000
br5,32,19,0,0.0000
br5,32,2,0,0.0000
br5,32,20,0,0.0000
br5,32,21,0,0.0000
br5,32,22,0,0.0000
br5,32,24,0,0.0000
br5,32,3,0,0.0000
br5,32,4,0,0.0000
br5,32,5,0,0.0000
br5,32,6,0,0.0000
br5,32,7,0,0.0000
br5,32,8,0,0.0000
br5,32,9,0,0.0000
br6,32,0,0,0.0000
br6,32,1,0,0.0000
br6,32,2,0,0.0000
br6,32,20,0,0.0000
br6,32,21,0,0.0000
br6,32,22,0,0.0000
br6,32,23,0,0.0000
br6,32,24,0,0.0000
br6,32,25,0,0.0000
br6,32,26,0,0.0000
br6,32,27,0,0.0000
br6,32,28,0,0.0000
br6,32,29,0,0.0000
br6,32,3,0,0.0000
br6,32,30,0,0.0000
br6,32,31,0,0.0000
