var,size,bit,cluster,score
a,8,6,0,0.0000
a,8,7,0,0.0000
b,8,6,0,0.0000
b,8,7,0,0.0000
b,8,0,1,2.0986
b,8,1,1,2.0986
a,8,0,1,2.3863
a,8,1,1,2.3863
a,8,2,2,11.3767
b,8,2,3,12.3767
b,8,3,4,30.7390
a,8,3,5,30.9999
a,8,4,6,54.3436
b,8,4,7,66.8152
a,8,5,8,108.1337
b,8,5,9,138.7887
