s26,8.2767,0
s0,15.6726,0
s3,18.3308,0
s1,25.8951,1
s2,25.8951,1
s18,28.2451,1
s4,28.3992,1
s5,28.3992,1
s27,30.8613,1
s20,33.1354,1
s16,51.9224,2
s22,51.9224,2
s6,51.9224,2
s7,51.9224,2
s11,143.5503,3
s8,147.5704,3
s19,224.9341,4
s21,224.9341,4
s34,519.7246,5
s10,528.3351,5
s9,528.3351,5
s12,529.8581,5
s13,529.8581,5
s31,628.5228,6
s32,742.5018,7
s14,750.6163,7
s15,750.6163,7
s17,750.6163,7
s23,750.6163,7
s24,752.7149,7
s25,752.7149,7
s29,752.7149,7
s33,752.7149,7
s30,876.2673,8
s28,1189.1088,9
