token,size,bit,cluster,score
br14,10,7,2,250.9871
br9,9,6,2,250.9871
br17,10,7,2,252.2061
br19,11,7,2,252.2061
br31,11,5,2,255.9495
br23,11,6,2,258.7322
br28,11,6,2,262.2972
br17,10,5,2,281.9269
br19,11,5,2,281.9269
br0,9,5,2,282.0821
br5,10,6,2,282.0821
br2,9,6,2,302.3826
br1,9,6,2,303.9087
br4,9,6,2,316.6975
br6,10,6,2,316.6975
br20,11,6,3,330.4497
br18,11,6,3,332.4497
br8,10,6,3,332.4497
br13,9,5,3,367.4070
br15,10,5,3,367.4070
br14,10,5,3,371.7944
br9,9,4,3,371.7944
br0,9,6,3,375.2880
br5,10,7,3,375.2880
br29,1,0,3,379.2027
br2,9,7,3,393.0679
br1,9,7,3,401.0829
br4,9,7,3,413.2060
br6,10,7,3,413.2060
br18,11,7,3,426.9582
br20,11,7,3,426.9582
br8,10,7,3,426.9582
br21,11,8,3,457.0852
br27,11,6,3,472.1310
br17,10,6,4,617.2523
br19,11,6,4,617.2523
br0,9,7,4,681.4265
br5,10,8,4,681.4265
br1,9,8,4,690.0569
br2,9,8,4,721.7678
br31,11,6,4,734.4282
br4,9,8,4,746.9903
br6,10,8,4,746.9903
br18,11,8,4,783.7159
br8,10,8,4,783.7159
br20,11,8,4,785.8145
br32,8,6,4,836.1997
