var,size,bit,cluster,score
gy_temp,10,4,1,164.1731
p2_p8,9,6,1,164.9989
abs_gy,11,4,1,182.1764
sum,11,5,2,200.4760
p2_p0,9,5,2,207.8566
center_1,10,5,2,213.0387
p5_p3,9,4,2,213.0387
p8_p6,9,5,2,228.2400
center_2,10,5,2,234.4127
center_rm,9,5,2,234.4127
p0_p6,9,7,2,237.4303
gx,11,5,2,243.4741
gx_temp,10,5,2,243.4741
center_4,10,7,2,246.5178
center_tm,9,7,2,246.5178
p2_p8,9,7,2,247.4464
center_3,10,7,2,249.7918
p1_p7,9,6,2,249.7918
gy,11,7,2,251.1286
gy_temp,10,7,2,251.1286
abs_gy,11,5,2,255.9495
gy_comp,11,6,2,258.7322
gy_2s_comp,11,6,2,262.2972
center_1,10,6,2,279.2384
p5_p3,9,5,2,279.2384
gy,11,5,2,281.7181
gy_temp,10,5,2,281.7181
p2_p0,9,6,2,300.5597
p8_p6,9,6,2,300.5600
center_2,10,6,2,313.9713
center_rm,9,6,2,313.9713
gx,11,6,3,329.6461
gx_temp,10,6,3,329.6461
center_4,10,5,3,367.0993
center_tm,9,5,3,367.0993
center_3,10,5,3,371.5855
p1_p7,9,4,3,371.5855
center_1,10,7,3,372.4444
p5_p3,9,6,3,372.4444
p8_p6,9,7,3,391.2453
p2_p0,9,7,3,397.7339
center_2,10,7,3,410.4798
center_rm,9,7,3,410.4798
gx,11,7,3,424.1547
gx_temp,10,7,3,424.1547
gy,11,6,4,616.1748
gy_temp,10,6,4,616.1748
center_1,10,8,4,678.5829
p5_p3,9,7,4,678.5829
p2_p0,9,8,4,686.7079
p8_p6,9,8,4,719.9452
abs_gy,11,6,4,734.4282
center_2,10,8,4,744.2641
center_rm,9,8,4,744.2641
gx,11,8,4,780.9123
gx_temp,10,8,4,780.9123
sum,11,6,4,836.1997
