unsigned int x,unsigned int y,unsigned int theta1,unsigned int theta2
3846398884,4180654729,      6164,     44720
 214288235,3302947033,      1937,     17305
1125783722,2982061641,      7801,     39956
 374340564,2459990377,      3028,     42646
1339528545,3650479497,     22763,     44196
2816824175,1063442399,      6458,     42213
3029730727,1574061648,      1200,     15852
1218562555,3207997865,      7769,     24517
1731395601,4033222145,     41346,     36723
3158867270,2818982178,     45763,     38339
2349702593, 976850659,      8131,     26032
3311904808,1855525192,      4931,     42977
1382278704,3565155788,     15788,     34296
3379338798,4151594867,      5774,     48636
1430059112,3270451333,      8396,     27135
2760007664,1264321181,      1264,     50400
 462716218,3530545896,     10162,     39649
3246198358,  61923500,        80,     26522
3621470321, 496393325,      2803,     42046
 348381866, 630653002,      5482,     24376
2881646696,3637626968,     12855,     34259
 937399806,2195665084,     11277,     45438
1652330018, 318407797,       656,     27352
2465328812,3703182287,      4995,      3073
2130685068,2801912450,      8429,     11600
4266309233,3010130238,      3607,     27824
 858102062,4197396033,     25574,     50015
1979428628, 405059044,      1937,     43802
3373241413,1272993889,      6034,     21017
 401519585,3590803266,     11960,     23121
 782818828, 760088460,      8992,     43703
 943584461,2686788292,      5319,     44196
1779377628,1414190594,      4769,     37219
2905518250,2846038247,       848,     33702
1849862353,2568969845,      8230,     31410
3094915816, 982508755,      9425,     25353
3238247418,2592466893,        48,     35864
1667686276,2416204030,     17547,      2290
4265780727,4031803138,      4446,     26522
4025853869, 104031148,      3704,     25307
1923520258, 527783827,      5060,     41074
2437234656, 681196122,     21979,     34407
1102893277,1834173361,      1841,     39922
3474183842,2782486947,     11379,     47607
3705720587,3920781325,       656,     20694
 890574048,4002580912,      4220,     36616
1163731950, 702139771,       144,     33962
1168302102, 124708460,      3929,     44622
3741278980,3738016598,      5514,     50432
3118731599,2518962457,      9026,     19866
2474234097, 730806015,      3736,     33627
 327665869, 539987971,      2001,     32492
1087837403,1362829902,       720,     32949
3028639143,4240718469,      1360,     40534
1409515317,2119004298,      5644,     31135
3448929078,2471831997,      5904,     26918
2173480153,3924931634,      5644,     13243
1163871920,1931168575,      5676,     31096
3498164057, 305181679,      8462,     17929
3149012551,2187198328,      2418,     27222
3241980265,2648479395,       816,     26742
1288585808,4009771599,     19789,     47929
  92887418,2936344614,     21251,     17049
4245557024, 104817214,     19363,     35286
1635451963,3869141790,     21010,     17368
4018913349,1924196151,     12682,     21806
4201347216,2066541002,     22431,     12053
 315238565,3525500845,      9425,     15221
 800430762,1977507466,      2836,     38409
1568673773,2346040549,     15752,     44524
  68739455,1960996406,     13098,     44916
 312723264,2592694381,      4963,     19922
4182357548,3725017192,      7769,      4225
3139649915,1168260980,      8429,     21650
2766990260,3159911869,      5709,     20090
1119131869, 833107001,       464,     51296
 158100663,4110135267,      3157,     41578
1810359414,2965845155,       720,     22064
 130370132,2389555809,     24034,     23947
 222054759,1174869743,      9159,     25897
1156542877,2615410105,      5384,      8405
 817850059,3750837063,       240,     42513
1151020075, 190404785,      1745,     42280
1855521170,1256333270,      8959,     16790
2910679111,1810329736,     11277,     51040
3436118504,3598257625,      1232,     16460
2556721958,1058997609,     26074,     34701
3629519285,1305122423,     28057,     36080
 397763917,3018365029,     14324,     21961
 613822380,4078292333,      3575,     41746
1654999577,1366890280,      8296,     30181
2259570593,2854286376,      2547,     17113
 836625299,3842175570,       240,     41879
3568076318,1170588615,     12337,     39512
3481025142, 807602479,     33790,     18174
3964172111, 684436861,      9860,     46574
2924925317,2412320985,      7440,     36509
 621787369,2863189381,      7637,      8895
3322892837, 954446967,     12372,     24376
3514097766,2491287722,      6262,     25942
2417801325,3626246240,      1585,     23415
  12754798,2596261231,      6197,     38928
4140340601,1004370056,      6327,     51072
