var,size,bit,cluster,score
p8_p6,9,5,5,3044
center_2,10,5,5,3061
center_rm,9,5,5,3061
gx,11,5,5,3077
gx_temp,10,5,5,3077
sum,11,6,5,3225
center_1,10,6,6,4929
p5_p3,9,5,6,4929
gy,11,6,6,4986
gy_temp,10,6,6,4986
p2_p0,9,6,6,5353
center_1,10,7,6,5358
p5_p3,9,6,6,5358
p8_p6,9,6,6,5732
center_2,10,6,6,5775
center_rm,9,6,6,5775
p2_p0,9,7,6,5793
gx,11,6,7,5994
gx_temp,10,6,7,5994
p8_p6,9,7,7,6149
center_2,10,7,7,6208
center_rm,9,7,7,6208
gx,11,7,7,6427
gx_temp,10,7,7,6427
center_1,10,8,7,6465
p5_p3,9,7,7,6465
p2_p0,9,8,7,6793
center_2,10,8,8,7377
center_rm,9,8,8,7377
p8_p6,9,8,8,7403
gx,11,8,9,7708
gx_temp,10,8,9,7708
