var,size,bit,cluster,score
center_tm,9,7,2,247.6943
p2_p8,9,7,2,248.7295
center_3,10,7,2,250.9871
p1_p7,9,6,2,250.9871
gy,11,7,2,252.2061
gy_temp,10,7,2,252.2061
abs_gy,11,5,2,255.9495
gy_comp,11,6,2,258.7322
gy_2s_comp,11,6,2,262.2972
gy,11,5,2,281.9269
gy_temp,10,5,2,281.9269
center_1,10,6,2,282.0821
p5_p3,9,5,2,282.0821
p8_p6,9,6,2,302.3826
p2_p0,9,6,2,303.9087
center_2,10,6,2,316.6975
center_rm,9,6,2,316.6975
gx,11,6,3,332.4497
gx_temp,10,6,3,332.4497
center_4,10,5,3,367.4070
center_tm,9,5,3,367.4070
center_3,10,5,3,371.7944
p1_p7,9,4,3,371.7944
center_1,10,7,3,375.2880
p5_p3,9,6,3,375.2880
p8_p6,9,7,3,393.0679
p2_p0,9,7,3,401.0829
center_2,10,7,3,413.2060
center_rm,9,7,3,413.2060
gx,11,7,3,426.9582
gx_temp,10,7,3,426.9582
gy,11,6,4,617.2523
gy_temp,10,6,4,617.2523
center_1,10,8,4,681.4265
p5_p3,9,7,4,681.4265
p2_p0,9,8,4,690.0569
p8_p6,9,8,4,721.7678
abs_gy,11,6,4,734.4282
center_2,10,8,4,746.9903
center_rm,9,8,4,746.9903
gx,11,8,4,783.7159
gx_temp,10,8,4,783.7159
sum,11,6,4,836.1997
