statement,cluster,score
s26,0,56
s0,0,61
s3,0,80
s18,0,133
s1,0,136
s2,0,136
s4,0,148
s5,0,148
s20,0,165
s27,0,214
s16,0,263
s22,0,263
s6,0,263
s7,0,263
s8,1,1113
s11,1,1139
s19,1,1143
s21,1,1143
s12,2,4665
s13,2,4665
s10,2,4697
s9,2,4697
s34,3,6218
s14,3,6874
s15,3,6874
s17,3,6874
s23,3,6874
s24,3,6879
s25,3,6879
s29,3,6879
s33,3,6879
s32,4,11047
s36,5,12574
s31,6,13941
s35,7,17479
s30,8,22102
s28,9,26878
