var,size,bit,cluster,score
p8_p6,9,5,2,5059
center_2,10,5,2,5132
center_rm,9,5,2,5132
gx,11,5,2,5159
gx_temp,10,5,2,5159
abs_gy,11,6,2,5328
sum,11,6,2,5757
center_1,10,6,3,7774
p5_p3,9,5,3,7774
gy,11,6,3,8287
gy_temp,10,6,3,8287
p2_p0,9,6,3,8422
center_1,10,7,3,8628
p5_p3,9,6,3,8628
p8_p6,9,6,3,8918
center_2,10,6,3,9056
center_rm,9,6,3,9056
p2_p0,9,7,3,9318
gx,11,6,3,9383
gx_temp,10,6,3,9383
p8_p6,9,7,3,9767
center_2,10,7,3,9920
center_rm,9,7,3,9920
gx,11,7,3,10245
gx_temp,10,7,3,10245
center_1,10,8,3,10602
p5_p3,9,7,3,10602
p2_p0,9,8,4,11140
p8_p6,9,8,4,11961
center_2,10,8,4,12010
center_rm,9,8,4,12010
gx,11,8,4,12530
gx_temp,10,8,4,12530
