cluster,size,ssim
0,14,0.0605765
1,4,0.145114
2,4,0.167387
3,9,0.0768795
4,1,0.51945
5,1,0.619285
6,1,0.458209
7,1,0.496824
8,1,0.451476
9,1,0.55253
